ID	Year	Title	Singer	Lyric
15	1964	저녁 한때 목장풍경	위키리	끝없는 벌판 멀리 지평선에 노을이 물들어 오면 외로운 저 목동의 가슴 속엔 아련한 그림움 솟네 뭉게 구름 저편 산 넘어로 기러기떼 나르고 양떼를 몰고 오는 언덕길에 초생달 빛을 뿌리면 구슬픈 피리 소리 노래 되어 쓸쓸이 메아리치네 끝없는 벌판 멀리 지평선에 노을이 물들어 오면 외로운 저 목동의 가슴 속엔 아련한 그림움 솟네 뭉게처럼 저 편 산 넘어로 기러기 펼치기
16	1964	떠날때는 말없이	현미	그 날 밤 그 자리에 둘이서 만났을 때 똑같은 그 순간에 똑같은 마음이 달빛에 젖은 채 밤새도록 즐거웠죠 아 그 밤이 꿈이었나 비 오는데 두고두고 못 다한 말 가슴에 새기면서 떠날 때는 말 없이 말 없이 가오리다 아무리 불러도 그 자리는 비어있네 아 그 날이 언제였나 비 오는데 사무치는 그리움을 나 어이 달래라고 떠날 때는 말 없이 말 없이 가오이다 펼치기
17	1964	영등포의 밤	오기택	궂은~비 하염 없~~~이 쏟아지는 영등포의 밤 내 가~슴에 안겨오는 사랑~의 불~길 고요한~ 적막속에 빛나던 그대 눈동자 아~~~~~~ 영원히 잊지 못할 영등포의 밤이~여 가슴~을 파고드~~~는 추억어린 영등포의 밤 영원~속에 스쳐오는 사랑~의 불~길 흐르는~ 불빛속에 아련한 그대의 모습 아~~~~~~ 영원히 잊지 못할 영등포의 밤이~여 펼치기
18	1964	님이라 부르리까	이미자	<1절 임이라 부르리까 당신이라고 부르리까 사랑을 하면서도 사랑을 참고사는 마음으로만 그리워 마음으로만 사무쳐 애타는 가슴 그무슨 잘못이라도 있는 것 처럼 울어야만 됩니까 울어야만 됩니까 <2절 임이라 부르리까 당신이라고 부르리까 밤이면 꿈에선가 다정이 만나보고 잊지못하고 언제나 가슴속에만 간직한 못난이 마음 그무슨 잘못이라도 있는 것처럼 울어야만 됩니까 울어야만 됩니까 펼치기
19	1965	아빠의 청춘	박일남	이 세상에 부모 마음 다 같은 마음 아들 딸이 잘 되라고 행복하라고 마음으로 빌어주는 박영감인데 노랭이라 비웃으며 욕하지 마라 나에게도 아직까지 청춘은 있다 원더플 원더플 아빠의 청춘 브라보 브라보 아빠의 인생 간 주 중 세상 구경 서울 구경 참 좋다만은 돈 있어야 제일이지 없으면 산통 마음 착한 며느리를 내 몰라 보고 황소고집 부리다가 큰 코 다쳤네 나에게도 아직까지 꿈이야 있다 원더플 원더플 아빠의 청춘 브라보 브라보 아빠의 인생 펼치기
20	1965	정동 대감	이미자	영을 넘고 강을 건너 남도 천리를 헤어져 그린 그님 찾아가는데 철없이 따라오는 어린 손이 차갑구나 자장 자장 잘자거라 아가야 잠들어라 이슬내려 젖은 길이 멀기만 하다 사랑찾아 임을 찾아 운명의 길을 천리라도 만리라도 찾아가련다 등에 업힌 어린 자식 칭얼칭얼 우는데 자장 자장 잘자거라 아가야 잠들어라 눈물에 젖은 길이 멀기만 하다 펼치기
21	1965	행복의 샘터	박재란	심심산골 외로이 피어있는 꽃인가 소박한 너의 모습 내 가슴을 태웠네 그리움에 날개 돋혀산넘고 물건너꿈을 따라 사랑 찾아나 여기 왔노라외딴곳에 피어난이름없는 꽃인데찾아주는 그대는정녕 나의 님인가 어린 가슴에 그리던그사랑 이라면반겨 맞아 받드오리따르오리다 세상이 넓다해도 그대만은 내 사랑소녀의 순정에도그대만이 나의 님무지개 피는 하늘 밑행복의 샘터를둘이 서로 손을 잡고찾아갑시다 펼치기
22	1965	진주조개잡이	박재란	새파란 수평선 흰구름 흐르는 오늘도 즐거워라 조개잡이 하는 처녀들 흥겨운 젊은날의 콧노래로 발을 맞추며 부푸른 가슴마다 꿈을 담고 파도를 넘어 새파란 수평선 흰구름 흐르는 오늘도 즐거워라 조개잡이 하는 처녀들 흥겨운 젊은날의 콧노래로 발을 맞추며 부푸른 가슴마다 꿈을 담고 파도를 넘어 새파란 수평선 흰구름 흐르는 오늘도 즐거워라 조개잡이 하는 처녀들 펼치기
23	1965	산너머 남촌에는	박재란	산~너머 남촌에는 누가 살길래 해마다 봄바람이 남으로~ 오네 아 꽃피는 사월이면 진달래 향기 밀익은 오월이면 보리 내음새 어~느것 한가진들 실어 안오리 남촌서 남풍 불때 나는 좋~데나 산~너머 남촌에는 누가 살길래 저 하늘 저 빛깔이 그리 고~ 울까 아 금잔디 넓은 벌엔 호랑나비떼 버들가 실개천에 종달새 노래 어~느것 한가진들 실어 안오리 남촌서 남풍 불때 나는 좋~데나 어~느것 한가진들 실어안오리 남촌서 남풍 불때 나는 좋~데나 아 꽃피는 사월이면 진달래 향기 밀익은 오월이면 보리 내음새 어~느것 한가진들 실어 안오리 남촌서 남풍 불때 나는 좋~데나 펼치기
24	1965	사랑의 송가	한명숙	바람결에 흔들리는 갈대와 같이 지금은 그대의 마음 변했나 영원토록 변치말자던 님의 말이 지금은 이슬같이 사라졌네 차라리 몰랐던들 몰랐던들 이 마음 그대생각 않을것을 이 마음 그대사랑 안할것을 차라리 몰랐던들 몰랐던들 이 마음 그대생각 않을것을 이 마음 그대사랑 안할것을 펼치기
25	1965	울어라 열풍아	이미자	못견디게 괴로워도 울지 못하고 가는님을 웃음으로 보내는 마음 그 누구가 알아주나 기막힌 내 사랑을 울어라 열풍아 밤이 새도록 님을 보낸 아쉬움에 흐느끼면서 하염없이 헤매도는 서러운 밤길 내 가슴의 이 상처를 그 누가 달래주리 울어라 열풍아 밤이 새도록 펼치기
26	1965	황포돛대	이미자	마즈막 석양 빛을 기폭에 걸고 흘러가는 저 배는 어데로 가느냐 해풍아 비바람아 울지를 마라 파도소리 구슬프면 이 마음도 구슬퍼 아아아 어데로 가는 배냐 어데로 가는 배냐 황포 돛대야 순풍에 돛을 달고 황혼 바람에 떠나가는 저 사공 고향은 어데냐 사공아 말해다오 떠나는 뱃길 갈매기야 울지마라 이 마음도 서럽다 아아아 어데로 가는 배냐 어데로 가는 배냐 황포 돛대야 펼치기
27	1965	누가 이사람을 모르시나요 (남과북 주제가)	곽순옥	누가 이 사람을 모르시나요 얌전한 몸매에 빛나는 눈 고운 마음씨는 달덩이같이 이 세상 끝까지 가겠노라고 나 하고 강가에서 맹세를 하던 이 여인을 누가 모르시나요 누가 이 사람을 모르시나요 부드러운 정열에 화사한 이 한 번 마음 주면 변함이 없어 꿈 따라 임 따라 가겠노라고 내 품에 안기어서 맹세를 하던 이 여인을 누가 모르시나요 펼치기
28	1965	내 이름은 소녀	조애희	내 이름은 소녀 꿈도 많고 내 이름은 소녀 말도 많지요 거울 앞에 앉아서 물어보며는 어제보다 요만큼 예뻐졌다고 내 이름은 소녀 꽃송이같이 곱게 피며는 엄마되겠지 내 이름은 소녀 꿈도 많고 내 이름은 소녀 샘도 많지요 거리 거리 쌍쌍이 걸어가며는 내 그림자 깨워서 짝을 지우고 내 이름은 소녀 꽃송이같이 곱게 피며는 날아오겠지 펼치기
29	1965	맨발로 뛰어라	남일해	내 몸에 핏줄이 비바람에 젖어도 멍들은 상처를 건드리지 말아다오 사나이 얼굴에 눈물이 비쳐도 님 그린 내 순정 변함은 없다 쫓기는 이 세상을 맨발로 뛰면서 끓는 피 두 주먹을 쥐고 또 쥐고 어두운 그림자 밝은 내일 믿고서 성내고 뛰어라 맨발로 뛰어라 내 몸에 핏줄이 비바람에 젖어도 멍들은 상처를 건드리지 말아다오 사나이 얼굴에 눈물이 비쳐도 님 그린 내 순정 변함은 없다 쫓기는 이 세상을 맨발로 뛰면서 끓는 피 두 주먹을 쥐고 또 쥐고 어두운 그림자 밝은 내일 믿고서 성내고 뛰어라 맨발로 뛰어라 펼치기
30	1965	월남의 달밤	윤일로	남 남쪽 먼 먼 나라 월남의 달밤 십자성 저 별빛은 어머님 얼굴 그 누가 불어주는 하모니카냐 아리랑 멜로디가 향수에 젖네 가슴에 젖네 열대어 꼬리치는 사이공 항구 산호등 아롱다롱 모래 별이면 카누에 실어보는 그 님의 노래 떠나온 수륙만리 아득한 고향 그리운 산천 펼치기
31	1966	화진포에서 맺은 사랑	이시스터즈	황금물결 아하 찰랑대는 아햐 정다운 바닷가 정다운 바닷가 아름다운 아하 화진포에 아하 맺은 사랑아 맺은 사랑아 꽃 구름이 흘러가는 수평선 저너머 푸른 꿈이 뭉게뭉게 가슴 적시면 모래껍질 아하 줏어모아 아하 마음을 수 놓고 마음을 수 놓고 영원토록 아하 변치말자 아하 맹세한 사랑 맹세한 사랑 은물결이 아하 반짝이는 아하 그리운 화진포 그리운 화진포 모래 위에 아하 새겨놓은 아하 사랑의 언약 사랑의 언약 흰 돛단배 흘러가는 수평선 저 멀리 오색 꿈이 곱게곱게 물결쳐오면 모래성을 아하 쌓아놓고 아하 손가락 걸며 손가락 걸며 영원토록 아하 변치말자 아하 맹세한 사랑 맹세한 사랑 펼치기
32	1966	키다리 미스터 김	이금희	키다리 미스터 김은 싱겁게 키는 크지만 그래도 미스터 김은 마음씨 그만이예요 세상에 키 크고 싱겁지 않은 이 없다고 말을 하지만 그러나 그 이는 그렇지 않아요 정말로 멋쟁이예요 건들~ 건들~ 걸을~때는~ 매력이 흘러 넘쳐요 키다리 미스터 김에게 나 홀랑 반~했어요 키다리 미스터 김은 언제나 털털이지만 그래도 미스터 김이 세상에 제일 좋아요 제 눈에 안경이 이러쿵 저러쿵 말씀을 할진 몰라도 그 이를 안보곤 그런 말 마세요 정말로 멋쟁이예요 싱글~ 벙글~ 웃을~때는~ 내 마음 미쳐버려요 키다리 미스터 김이 없으면 난 못살아요 없으면 난 못살아요 없으면 난 못살아요 펼치기
33	1966	하숙생	최희준	인생은 나그네길 어디서 왔다가 어디로 가는가 ? 구름이 흘러가 듯 떠돌다 가는 길에 정일랑 두지 말자 미련일랑 두지 말자 ! 인생은 나그네길 구름이 흘러가 듯 정처 없이 흘러서 간다. 인생은 벌거숭이 빈손으로 왔다가 빈손으로 가는가 ? 강물이 흘러가 듯 여울져 가는 길에 정일랑 두지 말자 미련일랑 두지 말자 ! 인생은 벌거숭이 강물이 흘러가 듯 소리 없이 흘러서 간다. 펼치기
34	1966	울릉도 트위스트	이시스터즈	울렁울렁 울렁대는 가슴안고 연락선을 타고가면 울릉도라 뱃머리도 신이나서 트위스트 아름다운 울릉도 붉게 피어나는 동백 꽃잎처럼 아가씨들 예쁘고 둘이 먹다가 하나 죽어도 모르는 호박엿 울렁울렁 울렁대는 처녀가슴 오징어가 풍년이면 시집가요 육지손님 어서와요 트위스트 나를 데려가세요 울렁울렁 울렁대는 울릉도길 연락선도 형편없이 지쳤구나 어지러워 비틀비틀 트위스트 요게바로 울릉도 평생 다가도록 기차 구경 한번 못해보고 살아도 기차보다 좋은 비행기는 구경 실컷하며 살아요 싱글벙글 생글생글 처녀총각 영감마님 어서와서 춤을춰요 오징어도 대풍일세 트위스트 사랑을 합시다 울렁울렁 울렁대는 가슴안고 연락선을 타고가면 울릉도라 뱃머리도 신이나서 트위스트 아름다운 울릉도 붉게 피어나는 동백 꽃잎처럼 아가씨들 예쁘고 둘이 먹다가 하나 죽어도 모르는 호박엿 울렁울렁 울렁대는 처녀가슴 오징어가 풍년이면 시집가요 육지손님 어서와요 트위스트 나를 데려가세요 펼치기
35	1966	충청도 아줌마	박일남	와도 그만 가도 그만 방랑의 길은 먼데 충청도 아줌마가 한사코 길을 막네 주안상 하나 놓고 마주 앉은 사람아 술이나 따르면서 따르면서 내 설움 너의 설움을 엮어나 보자 서울이고 부산이고 갈 곳은 많지만은 투술한 사투리가 너무도 정답구나 눈물을 흘리면서 마주 앉은 사람아 과거를 털어놓고 털어놓고 새로운 새 희망에 살아가 보자 펼치기
36	1966	엄처시하	최희준	열아홉 처녀 때는 수줍던 그 아내가 첫 아이 낳더니만 고양이로 변했네 눈 밑에 잔주름이 늘어 가니까 무서운 호랑이로 변해 버렸네 그러나 두고 보자 나도 남자다 언젠간 내 손으로 휘어 잡겠다 큰 소릴 쳐 보지만 나는 공처가 한 세상 사노라면 변할 날 있으련만 날이면 날마다 짜증으로 지새는 마누라 극성 속에 기가 죽어서 눈치밥 세월 속에 청춘이 가네 그러나 두고 보자 나도 남자다 언젠간 내 손으로 휘어 잡겠다 큰 소릴 쳐 보지만 나는 공처가 나는 공처가 펼치기
37	1966	불나비	김상국	얼마나 사무치는 그리움이냐 밤마다 불을찾아 헤메는 사연 차라리 재가되어 숨진다 해도 아아아 너를 안고 가련다 불나비 사랑 무엇으로 끄나요 사랑의 불길 밤을안고 떠도는 외로운 날개 한많은 세월속에 멍들은 가슴 아아아 너를안고 가련다 불나비 사랑 펼치기
38	1966	지평선은 말이 없다	이미자	어드메 계시온지 보고픈 어머님은 얼마나 멀고먼지 가고픈 내고향은 언제나 눈감으면 떠오르는 그모습 그리워 불러보는 이름이건만 지평선은 말이없다 대답이없다 드넓은 이세상에 외로운 우리남매 만나자 헤여지는 뼈져린 슬픈운명 차가운 이국땅에 쓰러져간 오빠를 가슴이 터지도록 불러보아도 지평선은 말이없다 대답이없다 펼치기
39	1966	아카시아의 마음	문주란	아카시아꽃이 시들면은 왜 그런지 슬퍼져 못잊을 사랑의 그림자 꽃잎은 알아줄까 밤비에 흩어지는 흰꽃잎 같이 내 사랑도 허무하게 가 버렸네 아카시아꽃이 다시피면 옛사랑도 잊겠지 못다한 사랑의 괴로움 꽃잎은 알아줄까 이슬비 오는밤에 흰꽃이 피면 내 마음도 쓸쓸하게 눈물 짓네 펼치기
40	1966	남성금지구역	이시스터즈	새장에 카나리아도 비리비리 배배 비리비리 배배 새파란 하늘을 노래하는데 아무리 남성금지구역이라도 우리는 이래뵈도 가슴이 부풀은 가시나이가 아녜요 먹고 싶고 입고 싶고 보고 싶은 것도 많지만 믿음직한 바지씨는 어디 계신가 그리워서 한숨을 쉬고 노랠 불러도 허전한 가슴속은 메울 길이 없대요 기숙사 코스모스도 피고지고 피고 피고지고 피고 울타리 너머를 내다보는데 아무리 남성금지구역이라도 우리는 이래뵈도 꿈만이 가득한 가시나이가 아녜요 공부하고 시험보고 졸업날은 다가오는데 그럴싸한 바지씨는 무얼 하실까 돌아오는 외출 날에는 한번 만나서 어쩌면 그러냐고 따져봐야겠어요 펼치기
41	1966	덕수궁 돌담길	진송남	비내리는 덕수궁 돌담 장길을 우산없이 혼자서 거니는 사람 무슨 사연 있길래 혼자 거닐까 저토록 비를 맞고 혼자 거닐까 밤비가 소리없이 내리는 밤에 밤도 깊은 덕수궁 돌담 장길을 비를 맞고 말없이 거니는 사람 옛날에는 두사람 거닐던 길을 지금은 어이해서 혼자 거닐까 밤비가 하염없이 내리는 밤에 펼치기
42	1966	평양기생	이미자	무정터라 한탄말고 욕하지 마소 진정으로 님을 위한 거짓말인데 행여나 변할까봐 마음 조이며 내 낭군 알상급제 빌고 또 비는 평양 기생 일편단심 변함없다오 괴로워도 고달퍼도 참아주세요 이 모두가 님을 위한 거짓들인데 행여나 버릴까봐 가슴 조이며 주야장 긴긴 밤을 홀로 세워도 평양 기생 일편단심 변함없다오 펼치기
43	1966	길잃은 철새	최희준	무슨 사연이 있겠지 무슨 까닭이 있겠지 돌아가지 않는 길 잃은 철새 밤은 깊어서 낙엽은 쌓이는데 밤은 깊어서 낙엽은 쌓이는데 흐느끼는 소리만 흐느끼는 소리만 홀로 살고파 왔을까 홀로 울고파 왔을까 돌아가지 않는 길 잃은 철새 가을은 가고 겨울은 왔는데도 가을은 가고 겨울은 왔는데도 한숨짓는 소리만 한숨짓는 소리만 펼치기
44	1966	미워하지 않으리	정원	목숨 걸고 쌓올린 사나이의 첫사랑 글라스에 아롱진 그 님의 얼굴 피보다 진한 사랑 여자는 모르리라 눈물을 삼키며 미워하지 않으리 피에 맺힌 애원도 몸부림을 쳐봐도 한번 가신 그님이 다시 올소냐 사나이 붉은 순정 여자는 모르리라 입술을 깨물며 미워하지 않으리 펼치기
45	1966	허무한 마음	정원	마른잎이 한 잎 두 잎 떨어지던 지난 가을날 사무치는 그리움만 남겨놓고 가버린 사람 다시 또 쓸쓸히 낙엽은 지고 찬서리 기러기 울며 나는데 돌아온단 그 사람은 소식없어 허무한 마음 다시 또 쓸쓸히 낙엽은 지고 찬서리 기러기 울며 나는데 돌아온단 그 사람은 소식없어 허무한 마음 펼치기
46	1966	뜨거운 안녕	쟈니리	또 다시 말해주오 사랑하고 있다고 별들이 다정히 손을 잡는 밤 기어이 가신다면 헤어집시다 아프게 마음 새긴 그 말 한마디 보내고 밤마다 울음이 나도 남자답게 말하리라 안녕이라고 뜨겁게 뜨겁게 안녕이라고 또 다시 말해주오 사랑하고 있다고 비둘기 나란히 구구 대는데 기어이 떠난다면 보내 드리리 너무도 깊이 맺힌 그 날밤 입술 긴긴 날 그리워 몸부림 쳐도 남자답게 말하리라 안녕이라고 뜨겁게 뜨겁게 안녕이라고 펼치기
47	1966	눈물을 감추고	위키리	눈물을 감추고 눈물을 감추고 이슬비 맞으며 나 홀로 걷는 밤길 외로움의 젖고 젖어 쓰라린 가슴에 고독이 넘쳐 넘쳐 내 야윈 가슴에 넘쳐 흐른다 눈물을 감추고 눈물을 감추고 이슬비 맞으며 나 홀로 걷는 밤길 외로움에 젖고 젖어 쓰라린 가슴에 슬픔이 넘쳐 넘쳐 내 야윈 가슴에 넘쳐 흐른다 펼치기
48	1966	동숙의 노래	문주란	너무나도 그님을 사랑했기에 그리움이 변해서 사모친 미움 원한 맺힌 마음에 잘못 생각해 돌이킬수 없는 죄 저질러 놓고 뉘우치면서 울어도 때는 늦으리 음 때는 늦으리 님을 따라 가고픈 마음이건만 그대따라 못가는 서러운 미움 저주받은 운명에 끝나는 순간 임의품에 안기운 짧은 행복에 참을수 없이 흐르는 뜨거운 눈물 음 뜨거운 눈물 펼치기
49	1966	종점	최희준	너를 사랑할때 한없이 즐거웠고 버림을 받았을때 끝없이 서러웠다 아련한 추억 속에 미련도 없다만은 너무도 빨리온 인생의 종점에서 싸늘하게 싸늘하게 식어만 가는 아 내청춘 꺼져가네 너를 사랑할땐 목숨을 걸렸었고 버림을 받았을때 추억을 생각했다 지나간 내 한평생 미련도 없다만은 너무도 짧았던 내청춘 종점에서 속절없이 속절없이 꺼져만 가는 아 한많은 내 청춘 펼치기
50	1966	날씬한 아가씨끼리	이금희	날씬한 날씬한 아가씨끼리 정답게 정답게 손을 잡고서 충무로 명동길 걸어가면은 거리는 환하게 꽃이 핍니다 하늘에 애드벨룬 둥실 떴는데 우리는 꿈 많은 아가씨에요 부풀은 가슴속에 남몰래 꽃피는 부끄러운 무지개 꿈 그대는 아세요 날씬한 날씬한 아가씨끼리 정답게 정답게 손을 잡고서 오후의 남산길 걸어가면은 하늘엔 꽃구름 흘러갑니다 날씬한 날씬한 아가씨끼리 정답게 정답게 손을 잡고서 충무로 명동길 걸어가면은 거리는 환하게 꽃이 핍니다 하늘에 애드벨룬 둥실 떴는데 우리는 꿈 많은 아가씨에요 부풀은 가슴속에 남몰래 꽃피는 부끄러운 무지개 꿈 그대는 아세요 날씬한 날씬한 아가씨끼리 정답게 정답게 손을 잡고서 오후의 남산길 걸어가면은 하늘엔 꽃구름 흘러갑니다 하늘엔 꽃구름 흘러갑니다 펼치기
51	1966	고향무정	오기택	구름도 울고넘는 울고넘는 저 산아래 그 옛날 내가 살던 고향이 있었건만 지금은 어느 누가 살고있는지 지금은 어느 누가 살고있는지 산골짝엔 물이 마르고 기름진 문전옥답 잡초에 묻혀있네 새들도 집을 찾는 집을 찾는 저 산아래 그 옛날 내가 살던 고향이 있었건만 지금은 어느 누가 살고있는지 지금은 어느 누가 살고있는지 바다에는 배만 떠있고 어부들 노래 소리 멎은지 오래일세 펼치기
52	1966	동백꽃 피는 고향	남상규	고향이 그리워서 가고 싶어서 밤 깊은 부두가를 찾아 왔건만 고동소리 울지 않고 뱃길도 막혀 동백꽃 피는 고향 멀기만 하구나 내 고향 울릉도야 너 잘 있느냐 네 소식 알 길 없어 가슴 닳는다 내 사랑도 부모님도 안녕하신지 동백꽃 피는 고향 언제 가려나 펼치기
53	1966	초우	문주란	가슴속에 스며드는 고독이 뭄부림칠 때 갈길없는 나그네의 꿈은 사라져 비에 젖어우네 너무나 사랑했기에 너무나 사랑했기에 마음의 상처 잊을 길 없어 빗소리도 흐느끼네 펼치기
